x,y,RSSI A,RSSI B,RSSI C
"0,5","0,5",0.41586416893647965,1.4927707992895272,0.41586416893647965
"0,5",1,0.37385055863525857,0.9749430664420465,1.4927707992895272
"0,5","1,5",0.8764472567065601,0.8764472567065601,1.3419602815409493
"0,5",2,0.6367447589782775,0.8764472567065601,2.054724210103155
"0,5","2,5",1.3419602815409493,2.054724210103155,2.285635680597924
"0,5",3,0.7083026195916635,0.27160491636041695,1.8471410887668611
"0,5","3,5",1.6605295177981738,0.7879022070404319,3.4996199462829254
1,"0,5",0.37385055863525857,0.7083026195916635,0.8764472567065601
1,1,0.6367447589782775,1.4927707992895272,0.8764472567065601
1,"1,5",0.9749430664420465,0.6367447589782775,2.542497157883813
1,2,0.7879022070404319,1.206385734561909,1.6605295177981738
1,"2,5",0.6367447589782775,0.8764472567065601,0.7083026195916635
1,3,0.5145865622197693,0.7083026195916635,1.4927707992895272
1,"3,5",1.0845079102365867,0.37385055863525857,1.206385734561909
"1,5","0,5",0.41586416893647965,1.4927707992895272,0.6367447589782775
"1,5",1,1.8471410887668611,0.41586416893647965,0.4625993007381274
"1,5","1,5",1.206385734561909,0.8764472567065601,0.7879022070404319
"1,5",2,1.206385734561909,0.5145865622197693,1.206385734561909
"1,5","2,5",1.0845079102365867,1.0845079102365867,0.7083026195916635
"1,5",3,1.4927707992895272,0.3360814675362015,0.572416191712016
"1,5","3,5",2.285635680597924,0.3360814675362015,0.572416191712016
2,"0,5",1.0845079102365867,0.572416191712016,1.4927707992895272
2,1,1.3419602815409493,0.7083026195916635,2.054724210103155
2,"1,5",0.7083026195916635,0.37385055863525857,1.6605295177981738
2,2,0.6367447589782775,1.8471410887668611,1.0845079102365867
2,"2,5",0.9749430664420465,2.054724210103155,2.542497157883813
2,3,1.206385734561909,1.4927707992895272,1.4927707992895272
2,"3,5",1.0845079102365867,0.572416191712016,1.0845079102365867
"2,5","0,5",0.6367447589782775,1.4927707992895272,0.572416191712016
"2,5",1,1.6605295177981738,0.7879022070404319,0.5145865622197693
"2,5","1,5",1.8471410887668611,0.4625993007381274,0.37385055863525857
"2,5",2,1.6605295177981738,1.0845079102365867,0.572416191712016
"2,5","2,5",0.7879022070404319,0.6367447589782775,0.9749430664420465
"2,5",3,1.8471410887668611,0.7083026195916635,0.7879022070404319
"2,5","3,5",0.7879022070404319,0.7879022070404319,1.6605295177981738
3,"0,5",1.206385734561909,0.7879022070404319,0.7083026195916635
3,1,1.8471410887668611,0.9749430664420465,0.37385055863525857
3,"1,5",1.206385734561909,0.8764472567065601,0.24416542057253798
3,2,0.7083026195916635,0.41586416893647965,2.285635680597924
3,"2,5",1.0845079102365867,0.6367447589782775,1.8471410887668611
3,3,1.4927707992895272,1.3419602815409493,2.285635680597924
3,"3,5",1.4927707992895272,1.0845079102365867,0.7879022070404319
"3,5","0,5",4.330398076465521,1.8471410887668611,0.19732277747676408
"3,5",1,0.7879022070404319,0.8764472567065601,0.30212808356797316
"3,5","1,5",1.8471410887668611,0.7083026195916635,0.41586416893647965
"3,5",2,1.3419602815409493,1.3419602815409493,0.7083026195916635
"3,5","2,5",1.3419602815409493,0.7879022070404319,0.7083026195916635
"3,5",3,0.8764472567065601,1.3419602815409493,0.5145865622197693
"3,5","3,5",3.1460629928153394,0.7879022070404319,1.206385734561909
